Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant",15.00 $,10.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course",50.00 $,40.00-65.00
McMeal at McDonalds (or Equivalent Combo Meal),7.00 $,6.00-8.00
Domestic Beer (1 pint draught),5.00 $,4.00-5.00
Imported Beer (12 oz small bottle),6.00 $,5.50-7.00
Cappuccino (regular),3.94 $,3.00-5.00
Coke/Pepsi (12 oz small bottle),1.79 $,1.00-2.50
Water (12 oz small bottle),1.60 $,1.00-2.00
Markets,[ Edit ],
"Milk (regular), (1 gallon)",3.14 $,2.49-4.00
Loaf of Fresh White Bread (1 lb),2.47 $,2.00-3.31
"Rice (white), (1 lb)",1.74 $,1.00-3.00
Eggs (regular) (12),2.01 $,1.49-3.00
Local Cheese (1 lb),4.83 $,2.89-7.99
"Chicken Breasts (Boneless, Skinless), (1 lb)",4.01 $,2.00-7.00
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.90 $,4.00-10.00
Apples (1 lb),2.32 $,1.50-3.00
Banana (1 lb),0.73 $,0.59-1.00
Oranges (1 lb),1.78 $,1.00-3.00
Tomato (1 lb),1.62 $,0.90-2.99
Potato (1 lb),1.19 $,0.68-2.00
Onion (1 lb),1.52 $,0.98-2.00
Lettuce (1 head),1.25 $,0.99-2.00
Water (1.5 liter bottle),1.67 $,1.00-2.50
Bottle of Wine (Mid-Range),14.88 $,10.00-15.00
Domestic Beer (0.5 liter bottle),1.83 $,1.00-3.00
Imported Beer (12 oz small bottle),3.41 $,2.00-4.50
Cigarettes 20 Pack (Marlboro),5.50 $,5.00-6.00
Transportation,[ Edit ],
One-way Ticket (Local Transport),2.50 $,2.50-2.50
Monthly Pass (Regular Price),95.00 $,70.00-95.00
Taxi Start (Normal Tariff),3.75 $,2.50-6.00
Taxi 1 mile (Normal Tariff),3.00 $,2.00-5.00
Taxi 1hour Waiting (Normal Tariff),25.00 $,20.00-45.00
Gasoline (1 gallon),2.71 $,2.30-3.00
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"23,000.00 $","20,000.00-25,000.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"20,509.52 $","17,800.00-25,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",158.89 $,100.00-250.00
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.13 $,0.10-0.20
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",64.21 $,50.00-80.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult",36.40 $,22.00-60.00
Tennis Court Rent (1 Hour on Weekend),14.89 $,10.00-25.00
"Cinema, International Release, 1 Seat",12.50 $,11.50-15.00
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",902.00 $,"483.33-1,300.00"
"International Primary School, Yearly for 1 Child","18,083.33 $","10,200.00-28,000.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar),41.29 $,25.00-59.50
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",37.75 $,25.00-55.00
1 Pair of Nike Running Shoes (Mid-Range),73.26 $,59.99-100.00
1 Pair of Men Leather Business Shoes,91.91 $,70.00-125.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre,"1,474.70 $","1,100.00-1,800.00"
Apartment (1 bedroom) Outside of Centre,"1,053.33 $","800.00-1,350.00"
Apartment (3 bedrooms) in City Centre,"2,684.62 $","1,800.00-4,000.00"
Apartment (3 bedrooms) Outside of Centre,"1,707.14 $","1,200.00-2,500.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre,300.04 $,175.00-431.28
Price per Square Feet to Buy Apartment Outside of Centre,129.82 $,87.00-210.31
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax),"3,746.22 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.27,3.75-5.00
