Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant ",15.00 $,12.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course ",62.50 $,45.00-80.00
McMeal at McDonalds (or Equivalent Combo Meal) ,9.00 $,7.95-11.00
Domestic Beer (1 pint draught) ,6.00 $,4.00-7.00
Imported Beer (12 oz small bottle) ,6.00 $,5.00-8.00
Cappuccino (regular) ,4.27 $,3.00-5.00
Coke/Pepsi (12 oz small bottle) ,1.93 $,1.25-2.70
Water (12 oz small bottle) ,1.53 $,1.00-2.00
Markets,[ Edit ],
"Milk (regular), (1 gallon) ",3.18 $,2.50-4.20
Loaf of Fresh White Bread (1 lb) ,2.90 $,1.89-4.00
"Rice (white), (1 lb) ",1.89 $,1.00-3.00
Eggs (regular) (12) ,2.97 $,1.79-4.50
Local Cheese (1 lb) ,7.48 $,3.63-12.45
"Chicken Breasts (Boneless, Skinless), (1 lb) ",5.58 $,3.00-7.34
Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,6.60 $,4.95-9.00
Apples (1 lb) ,2.40 $,1.50-4.00
Banana (1 lb) ,0.78 $,0.59-1.00
Oranges (1 lb) ,1.90 $,1.40-2.99
Tomato (1 lb) ,2.00 $,1.29-3.00
Potato (1 lb) ,1.15 $,0.75-2.00
Onion (1 lb) ,1.16 $,0.79-1.86
Lettuce (1 head) ,1.78 $,1.00-2.99
Water (1.5 liter bottle) ,2.01 $,1.50-3.00
Bottle of Wine (Mid-Range) ,15.00 $,10.00-20.00
Domestic Beer (0.5 liter bottle) ,2.03 $,1.43-3.00
Imported Beer (12 oz small bottle) ,2.43 $,1.50-4.00
Cigarettes 20 Pack (Marlboro) ,10.00 $,9.50-12.00
Transportation,[ Edit ],
One-way Ticket (Local Transport) ,2.75 $,2.50-2.75
Monthly Pass (Regular Price) ,99.00 $,90.00-110.00
Taxi Start (Normal Tariff) ,2.60 $,2.50-3.00
Taxi 1 mile (Normal Tariff) ,2.70 $,2.50-3.00
Taxi 1hour Waiting (Normal Tariff) ,30.00 $,30.00-30.00
Gasoline (1 gallon) ,3.45 $,3.09-3.75
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,"23,000.00 $","20,000.00-25,000.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car) ,"21,852.25 $","18,600.00-27,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment ",154.92 $,95.00-228.73
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.11 $,0.07-0.20
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",64.35 $,45.00-85.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult ",52.12 $,30.00-100.00
Tennis Court Rent (1 Hour on Weekend) ,28.09 $,0.00-40.00
"Cinema, International Release, 1 Seat ",14.00 $,12.00-16.00
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","1,456.06 $","800.00-2,100.00"
"International Primary School, Yearly for 1 Child ","21,466.67 $","15,000.00-39,600.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar) ,49.49 $,35.00-70.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",43.23 $,30.00-60.00
1 Pair of Nike Running Shoes (Mid-Range) ,82.16 $,60.00-104.00
1 Pair of Men Leather Business Shoes ,114.40 $,75.00-189.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre ,"1,981.92 $","1,600.00-2,500.00"
Apartment (1 bedroom) Outside of Centre ,"1,521.60 $","1,200.00-1,900.00"
Apartment (3 bedrooms) in City Centre ,"3,599.90 $","2,500.00-5,000.00"
Apartment (3 bedrooms) Outside of Centre ,"2,562.26 $","1,950.00-3,000.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre ,654.13 $,517.00-886.99
Price per Square Feet to Buy Apartment Outside of Centre ,402.16 $,291.00-500.00
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax) ,"4,631.83 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",4.36,4.00-5.00
"Prices in Seattle, Washington",,
These data are based on 2902 entries in the past 18 months from 419 different contributors. ,,
Last update: March 2019,,
