Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Atlanta,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,54850,0.028
Atlanta,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Atlanta,Quick Facts,2018-11,Job Openings,Job Openings,132923,0.191
New York City,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,63288,0.04
New York City,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
New York City,Quick Facts,2018-11,Job Openings,Job Openings,316175,0.088
Los Angeles,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,61798,0.026
Los Angeles,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Los Angeles,Quick Facts,2018-11,Job Openings,Job Openings,226960,0.117
Philadelphia,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,55996,0.023
Philadelphia,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Philadelphia,Quick Facts,2018-11,Job Openings,Job Openings,120001,0.091
Houston,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,56159,0.025
Houston,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Houston,Quick Facts,2018-11,Job Openings,Job Openings,105854,0.102
Seattle,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,63030,0.028
Seattle,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Seattle,Quick Facts,2018-11,Job Openings,Job Openings,121804,0.192
San Francisco,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,71420,0.046
San Francisco,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
San Francisco,Quick Facts,2018-11,Job Openings,Job Openings,159095,0.161
Chicago,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,57211,0.024
Chicago,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Chicago,Quick Facts,2018-11,Job Openings,Job Openings,218155,0.184
Boston,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,60783,0.03
Boston,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Boston,Quick Facts,2018-11,Job Openings,Job Openings,160054,0.162
Washington DC,Quick Facts,2018-11,Metro Median Pay,Metro Median Pay,61297,0.032
Washington DC,Quick Facts,2018-11,U.S. Median Pay,U.S. Median Pay,52943,0.026
Washington DC,Quick Facts,2018-11,Job Openings,Job Openings,180652,0.106
National,Job Title,2018-11,Software Engineer,Median Base Pay,88110,0.034
National,Job Title,2018-11,Programmer Analyst,Median Base Pay,69926,0.038
National,Job Title,2018-11,Consultant,Median Base Pay,73077,0.007
National,Job Title,2018-11,Project Manager,Median Base Pay,69867,-0.048
National,Job Title,2018-11,Store Manager,Median Base Pay,49774,0.028
National,Job Title,2018-11,Business Analyst,Median Base Pay,66071,0.017
National,Job Title,2018-11,Cashier,Median Base Pay,28338,0.058
National,Job Title,2018-11,Financial Analyst,Median Base Pay,64315,0.028
National,Job Title,2018-11,Administrative Assistant,Median Base Pay,41534,0.04
National,Job Title,2018-11,Accountant,Median Base Pay,56791,0.022
National,Job Title,2018-11,Sales Representative,Median Base Pay,49486,0.037
National,Job Title,2018-11,Professor,Median Base Pay,87793,0.016
National,Job Title,2018-11,Registered Nurse,Median Base Pay,66998,0.022
National,Job Title,2018-11,Marketing Manager,Median Base Pay,68730,0.022
National,Job Title,2018-11,Operations Manager,Median Base Pay,68866,0.014
National,Job Title,2018-11,Product Manager,Median Base Pay,94726,0.035
National,Job Title,2018-11,Sales Manager,Median Base Pay,62568,0.029
National,Job Title,2018-11,Teacher,Median Base Pay,47332,0.023
National,Job Title,2018-11,Bank Teller,Median Base Pay,31444,0.091
National,Job Title,2018-11,Customer Service Manager,Median Base Pay,56435,0.039
National,Job Title,2018-11,Physical Therapist,Median Base Pay,75639,0.004
National,Job Title,2018-11,Mechanical Engineer,Median Base Pay,76208,0.031
National,Job Title,2018-11,Recruiter,Median Base Pay,51402,0.016
National,Job Title,2018-11,Design Engineer,Median Base Pay,72148,-0.001
National,Job Title,2018-11,Pharmacy Technician,Median Base Pay,32441,0.057
National,Job Title,2018-11,Graphic Designer,Median Base Pay,45996,0.026
