Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant",15.00 $,10.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course",65.00 $,42.50-75.00
McMeal at McDonalds (or Equivalent Combo Meal),7.29 $,6.50-10.00
Domestic Beer (1 pint draught),5.00 $,4.00-6.00
Imported Beer (12 oz small bottle),6.00 $,5.00-8.00
Cappuccino (regular),4.23 $,3.25-5.00
Coke/Pepsi (12 oz small bottle),1.80 $,1.25-2.50
Water (12 oz small bottle),1.45 $,1.00-2.00
Markets,[ Edit ],
"Milk (regular), (1 gallon)",2.96 $,1.99-4.50
Loaf of Fresh White Bread (1 lb),2.00 $,1.00-2.75
"Rice (white), (1 lb)",1.29 $,0.79-2.00
Eggs (regular) (12),2.16 $,1.29-3.00
Local Cheese (1 lb),4.60 $,3.00-7.00
"Chicken Breasts (Boneless, Skinless), (1 lb)",3.33 $,2.00-5.00
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),4.58 $,2.72-6.00
Apples (1 lb),1.34 $,0.69-2.00
Banana (1 lb),0.52 $,0.40-0.79
Oranges (1 lb),1.34 $,0.60-3.50
Tomato (1 lb),1.00 $,0.80-1.85
Potato (1 lb),0.88 $,0.50-1.00
Onion (1 lb),0.71 $,0.50-1.00
Lettuce (1 head),1.15 $,0.99-1.99
Water (1.5 liter bottle),1.51 $,0.85-2.50
Bottle of Wine (Mid-Range),13.00 $,8.50-18.00
Domestic Beer (0.5 liter bottle),2.25 $,1.50-3.00
Imported Beer (12 oz small bottle),2.73 $,1.55-4.00
Cigarettes 20 Pack (Marlboro),7.00 $,6.00-8.00
Transportation,[ Edit ],
One-way Ticket (Local Transport),1.25 $,1.25-1.75
Monthly Pass (Regular Price),50.00 $,35.00-90.00
Taxi Start (Normal Tariff),2.75 $,2.50-5.00
Taxi 1 mile (Normal Tariff),2.50 $,2.00-4.00
Taxi 1hour Waiting (Normal Tariff),24.00 $,24.00-24.00
Gasoline (1 gallon),2.49 $,2.05-2.89
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"20,000.00 $","18,000.00-25,000.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"19,339.32 $","16,000.00-25,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",133.98 $,85.00-200.00
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.13 $,0.05-0.20
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",58.89 $,45.00-100.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult",36.43 $,20.00-70.00
Tennis Court Rent (1 Hour on Weekend),12.50 $,0.00-20.00
"Cinema, International Release, 1 Seat",10.00 $,8.50-12.50
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",893.04 $,"500.00-1,200.00"
"International Primary School, Yearly for 1 Child","21,647.06 $","14,000.00-27,000.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar),39.77 $,25.00-55.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",34.63 $,20.00-50.00
1 Pair of Nike Running Shoes (Mid-Range),69.03 $,50.00-100.00
1 Pair of Men Leather Business Shoes,87.91 $,60.00-120.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre,"1,341.52 $","1,000.00-1,700.00"
Apartment (1 bedroom) Outside of Centre,883.06 $,"700.00-1,100.00"
Apartment (3 bedrooms) in City Centre,"2,542.16 $","1,800.00-3,500.00"
Apartment (3 bedrooms) Outside of Centre,"1,637.62 $","1,200.00-2,200.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre,191.79 $,140.00-300.00
Price per Square Feet to Buy Apartment Outside of Centre,100.56 $,81.07-120.00
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax),"3,498.15 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.25,3.50-5.00
"Prices in Houston, Texas",,
