Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant",15.00 $,10.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course",70.00 $,50.00-85.00
McMeal at McDonalds (or Equivalent Combo Meal),7.50 $,6.00-10.00
Domestic Beer (1 pint draught),6.00 $,4.00-8.00
Imported Beer (12 oz small bottle),7.00 $,5.00-9.00
Cappuccino (regular),4.42 $,3.50-5.28
Coke/Pepsi (12 oz small bottle),2.32 $,1.50-3.25
Water (12 oz small bottle),1.79 $,1.00-3.00
Markets,[ Edit ],
"Milk (regular), (1 gallon)",3.99 $,2.89-5.00
Loaf of Fresh White Bread (1 lb),2.77 $,2.00-3.89
"Rice (white), (1 lb)",1.93 $,1.00-2.89
Eggs (regular) (12),3.23 $,2.25-4.50
Local Cheese (1 lb),4.63 $,3.00-7.00
"Chicken Breasts (Boneless, Skinless), (1 lb)",4.67 $,2.99-7.99
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.93 $,3.99-8.99
Apples (1 lb),2.01 $,1.00-3.00
Banana (1 lb),0.91 $,0.59-1.99
Oranges (1 lb),1.47 $,0.99-2.99
Tomato (1 lb),1.66 $,0.89-3.00
Potato (1 lb),1.33 $,0.59-2.50
Onion (1 lb),1.05 $,0.50-2.00
Lettuce (1 head),1.34 $,0.99-2.00
Water (1.5 liter bottle),1.91 $,1.00-2.99
Bottle of Wine (Mid-Range),12.00 $,8.00-15.00
Domestic Beer (0.5 liter bottle),2.25 $,1.00-3.00
Imported Beer (12 oz small bottle),2.78 $,1.50-3.25
Cigarettes 20 Pack (Marlboro),8.50 $,7.00-10.00
Transportation,[ Edit ],
One-way Ticket (Local Transport),1.75 $,1.75-1.75
Monthly Pass (Regular Price),100.00 $,99.00-122.00
Taxi Start (Normal Tariff),3.00 $,2.85-5.00
Taxi 1 mile (Normal Tariff),2.70 $,2.00-5.00
Taxi 1hour Waiting (Normal Tariff),29.19 $,25.00-40.00
Gasoline (1 gallon),3.66 $,3.40-3.99
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,000.00 $","20,000.00-27,600.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),"20,275.45 $","17,000.00-25,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",145.23 $,75.00-240.77
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.13 $,0.07-0.23
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",58.20 $,40.00-80.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult",41.45 $,29.00-75.00
Tennis Court Rent (1 Hour on Weekend),12.73 $,0.00-25.00
"Cinema, International Release, 1 Seat",15.00 $,12.00-17.00
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,141.54 $","855.00-1,500.00"
"International Primary School, Yearly for 1 Child","21,658.33 $","15,000.00-30,000.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar),50.60 $,35.00-70.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.89 $,20.00-60.00
1 Pair of Nike Running Shoes (Mid-Range),79.47 $,60.00-100.00
1 Pair of Men Leather Business Shoes,107.57 $,75.00-150.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre,"2,133.97 $","1,600.00-2,600.00"
Apartment (1 bedroom) Outside of Centre,"1,633.41 $","1,250.00-1,900.00"
Apartment (3 bedrooms) in City Centre,"3,860.91 $","3,000.00-5,500.00"
Apartment (3 bedrooms) Outside of Centre,"2,922.74 $","2,300.00-4,000.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre,690.17 $,500.00-899.99
Price per Square Feet to Buy Apartment Outside of Centre,417.08 $,340.00-600.00
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax),"3,824.32 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.37,4.00-5.00
