Restaurants,[ Edit ],Range
"Meal, Inexpensive Restaurant ",16.00 $,13.00-22.00
"Meal for 2 People, Mid-range Restaurant, Three-course ",72.50 $,60.00-85.00
McMeal at McDonalds (or Equivalent Combo Meal) ,8.00 $,7.00-9.00
Domestic Beer (1 pint draught) ,6.00 $,5.00-7.00
Imported Beer (12 oz small bottle) ,8.00 $,7.00-9.00
Cappuccino (regular) ,4.21 $,3.50-5.00
Coke/Pepsi (12 oz small bottle) ,1.95 $,1.50-2.50
Water (12 oz small bottle) ,1.70 $,1.30-2.00
Markets,[ Edit ],
"Milk (regular), (1 gallon) ",3.42 $,2.69-4.00
Loaf of Fresh White Bread (1 lb) ,3.28 $,2.00-4.00
"Rice (white), (1 lb) ",2.02 $,1.00-4.00
Eggs (regular) (12) ,3.18 $,2.29-4.00
Local Cheese (1 lb) ,5.10 $,3.00-12.00
"Chicken Breasts (Boneless, Skinless), (1 lb) ",6.58 $,3.00-8.00
Beef Round (1 lb) (or Equivalent Back Leg Red Meat) ,6.65 $,3.25-10.00
Apples (1 lb) ,3.18 $,2.00-4.00
Banana (1 lb) ,0.94 $,0.48-1.50
Oranges (1 lb) ,3.36 $,2.00-4.99
Tomato (1 lb) ,3.11 $,1.60-5.00
Potato (1 lb) ,1.94 $,0.65-3.00
Onion (1 lb) ,1.90 $,0.50-4.00
Lettuce (1 head) ,2.66 $,1.00-3.50
Water (1.5 liter bottle) ,2.33 $,1.00-4.00
Bottle of Wine (Mid-Range) ,15.00 $,12.99-18.00
Domestic Beer (0.5 liter bottle) ,3.17 $,3.00-3.50
Imported Beer (12 oz small bottle) ,4.67 $,4.00-7.00
Cigarettes 20 Pack (Marlboro) ,8.80 $,7.85-10.50
Transportation,[ Edit ],
One-way Ticket (Local Transport) ,2.50 $,2.00-4.00
Monthly Pass (Regular Price) ,117.00 $,76.09-230.00
Taxi Start (Normal Tariff) ,3.50 $,3.00-5.00
Taxi 1 mile (Normal Tariff) ,2.33 $,2.00-4.00
Taxi 1hour Waiting (Normal Tariff) ,25.00 $,25.00-25.00
Gasoline (1 gallon) ,2.90 $,2.65-3.20
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,"22,500.00 $","19,330.00-27,000.00"
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car) ,"19,780.92 $","18,000.00-24,000.00"
Utilities (Monthly),[ Edit ],
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment ",128.27 $,100.00-200.00
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.10 $,0.07-0.15
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",64.32 $,40.00-89.00
Sports And Leisure,[ Edit ],
"Fitness Club, Monthly Fee for 1 Adult ",57.20 $,29.99-100.00
Tennis Court Rent (1 Hour on Weekend) ,7.62 $,0.00-15.00
"Cinema, International Release, 1 Seat ",14.00 $,12.00-15.00
Childcare,[ Edit ],
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","1,566.48 $","1,000.00-2,000.00"
"International Primary School, Yearly for 1 Child ","30,555.56 $","20,000.00-40,000.00"
Clothing And Shoes,[ Edit ],
1 Pair of Jeans (Levis 501 Or Similar) ,52.07 $,36.00-70.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",36.45 $,25.00-50.00
1 Pair of Nike Running Shoes (Mid-Range) ,78.46 $,60.00-100.00
1 Pair of Men Leather Business Shoes ,106.96 $,80.00-150.00
Rent Per Month,[ Edit ],
Apartment (1 bedroom) in City Centre ,"2,210.95 $","1,800.00-2,554.81"
Apartment (1 bedroom) Outside of Centre ,"1,668.57 $","1,250.00-1,976.88"
Apartment (3 bedrooms) in City Centre ,"3,995.65 $","3,300.00-5,000.00"
Apartment (3 bedrooms) Outside of Centre ,"2,863.50 $","2,100.00-3,600.00"
Buy Apartment Price,[ Edit ],
Price per Square Feet to Buy Apartment in City Centre ,558.93 $,358.00-634.09
Price per Square Feet to Buy Apartment Outside of Centre ,277.61 $,220.00-313.31
Salaries And Financing,[ Edit ],
Average Monthly Net Salary (After Tax) ,"4,806.44 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",4.27,3.50-4.75
