Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Company Size,2017-06,1001-5000,Median Base Pay,50739.0,
National,Company Size,2017-06,<51,Median Base Pay,46028.0,
National,Company Size,2017-06,201-500,Median Base Pay,48801.0,
National,Company Size,2017-06,5000+,Median Base Pay,51642.0,
National,Company Size,2017-06,501-1000,Median Base Pay,49530.0,
National,Company Size,2017-06,51-200,Median Base Pay,47716.0,
New York City,Company Size,2017-06,1001-5000,Median Base Pay,59875.0,
New York City,Company Size,2017-06,<51,Median Base Pay,54315.0,
New York City,Company Size,2017-06,201-500,Median Base Pay,57587.0,
New York City,Company Size,2017-06,5000+,Median Base Pay,60940.0,
New York City,Company Size,2017-06,501-1000,Median Base Pay,58448.0,
New York City,Company Size,2017-06,51-200,Median Base Pay,56308.0,
Los Angeles,Company Size,2017-06,1001-5000,Median Base Pay,58236.0,
Los Angeles,Company Size,2017-06,<51,Median Base Pay,52828.0,
Los Angeles,Company Size,2017-06,201-500,Median Base Pay,56011.0,
Los Angeles,Company Size,2017-06,5000+,Median Base Pay,59272.0,
Los Angeles,Company Size,2017-06,501-1000,Median Base Pay,56848.0,
Los Angeles,Company Size,2017-06,51-200,Median Base Pay,54767.0,
Chicago,Company Size,2017-06,1001-5000,Median Base Pay,55027.0,
Chicago,Company Size,2017-06,<51,Median Base Pay,49917.0,
Chicago,Company Size,2017-06,201-500,Median Base Pay,52925.0,
Chicago,Company Size,2017-06,5000+,Median Base Pay,56006.0,
Chicago,Company Size,2017-06,501-1000,Median Base Pay,53715.0,
Chicago,Company Size,2017-06,51-200,Median Base Pay,51749.0,
Houston,Company Size,2017-06,1001-5000,Median Base Pay,53775.0,
Houston,Company Size,2017-06,<51,Median Base Pay,48782.0,
Houston,Company Size,2017-06,201-500,Median Base Pay,51721.0,
Houston,Company Size,2017-06,5000+,Median Base Pay,54732.0,
Houston,Company Size,2017-06,501-1000,Median Base Pay,52494.0,
Houston,Company Size,2017-06,51-200,Median Base Pay,50572.0,
Washington DC,Company Size,2017-06,1001-5000,Median Base Pay,57597.0,
Washington DC,Company Size,2017-06,<51,Median Base Pay,52249.0,
Washington DC,Company Size,2017-06,201-500,Median Base Pay,55397.0,
Washington DC,Company Size,2017-06,5000+,Median Base Pay,58623.0,
Washington DC,Company Size,2017-06,501-1000,Median Base Pay,56225.0,
Washington DC,Company Size,2017-06,51-200,Median Base Pay,54166.0,
Philadelphia,Company Size,2017-06,1001-5000,Median Base Pay,53856.0,
Philadelphia,Company Size,2017-06,<51,Median Base Pay,48855.0,
Philadelphia,Company Size,2017-06,201-500,Median Base Pay,51799.0,
Philadelphia,Company Size,2017-06,5000+,Median Base Pay,54815.0,
Philadelphia,Company Size,2017-06,501-1000,Median Base Pay,52573.0,
Philadelphia,Company Size,2017-06,51-200,Median Base Pay,50648.0,
Atlanta,Company Size,2017-06,1001-5000,Median Base Pay,52083.0,
Atlanta,Company Size,2017-06,<51,Median Base Pay,47247.0,
Atlanta,Company Size,2017-06,201-500,Median Base Pay,50093.0,
Atlanta,Company Size,2017-06,5000+,Median Base Pay,53010.0,
Atlanta,Company Size,2017-06,501-1000,Median Base Pay,50842.0,
Atlanta,Company Size,2017-06,51-200,Median Base Pay,48980.0,
Boston,Company Size,2017-06,1001-5000,Median Base Pay,57919.0,
Boston,Company Size,2017-06,<51,Median Base Pay,52541.0,
Boston,Company Size,2017-06,201-500,Median Base Pay,55706.0,
Boston,Company Size,2017-06,5000+,Median Base Pay,58950.0,
Boston,Company Size,2017-06,501-1000,Median Base Pay,56538.0,
Boston,Company Size,2017-06,51-200,Median Base Pay,54468.0,
San Francisco,Company Size,2017-06,1001-5000,Median Base Pay,67946.0,
San Francisco,Company Size,2017-06,<51,Median Base Pay,61637.0,
San Francisco,Company Size,2017-06,201-500,Median Base Pay,65350.0,
San Francisco,Company Size,2017-06,5000+,Median Base Pay,69156.0,
San Francisco,Company Size,2017-06,501-1000,Median Base Pay,66327.0,
San Francisco,Company Size,2017-06,51-200,Median Base Pay,63899.0,
Seattle,Company Size,2017-06,1001-5000,Median Base Pay,59249.0,
Seattle,Company Size,2017-06,<51,Median Base Pay,53747.0,
Seattle,Company Size,2017-06,201-500,Median Base Pay,56985.0,
Seattle,Company Size,2017-06,5000+,Median Base Pay,60303.0,
Seattle,Company Size,2017-06,501-1000,Median Base Pay,57837.0,
Seattle,Company Size,2017-06,51-200,Median Base Pay,55719.0,
National,Company Size,2017-07,1001-5000,Median Base Pay,50542.0,
National,Company Size,2017-07,<51,Median Base Pay,45820.0,
National,Company Size,2017-07,201-500,Median Base Pay,48623.0,
National,Company Size,2017-07,5000+,Median Base Pay,51498.0,
National,Company Size,2017-07,501-1000,Median Base Pay,49375.0,
National,Company Size,2017-07,51-200,Median Base Pay,47588.0,
New York City,Company Size,2017-07,1001-5000,Median Base Pay,59803.0,
New York City,Company Size,2017-07,<51,Median Base Pay,54216.0,
New York City,Company Size,2017-07,201-500,Median Base Pay,57532.0,
New York City,Company Size,2017-07,5000+,Median Base Pay,60934.0,
New York City,Company Size,2017-07,501-1000,Median Base Pay,58422.0,
New York City,Company Size,2017-07,51-200,Median Base Pay,56307.0,
Los Angeles,Company Size,2017-07,1001-5000,Median Base Pay,58235.0,
Los Angeles,Company Size,2017-07,<51,Median Base Pay,52794.0,
Los Angeles,Company Size,2017-07,201-500,Median Base Pay,56023.0,
Los Angeles,Company Size,2017-07,5000+,Median Base Pay,59336.0,
Los Angeles,Company Size,2017-07,501-1000,Median Base Pay,56890.0,
Los Angeles,Company Size,2017-07,51-200,Median Base Pay,54830.0,
Chicago,Company Size,2017-07,1001-5000,Median Base Pay,54223.0,
Chicago,Company Size,2017-07,<51,Median Base Pay,49157.0,
Chicago,Company Size,2017-07,201-500,Median Base Pay,52164.0,
Chicago,Company Size,2017-07,5000+,Median Base Pay,55248.0,
Chicago,Company Size,2017-07,501-1000,Median Base Pay,52971.0,
Chicago,Company Size,2017-07,51-200,Median Base Pay,51053.0,
Houston,Company Size,2017-07,1001-5000,Median Base Pay,53878.0,
Houston,Company Size,2017-07,<51,Median Base Pay,48844.0,
Houston,Company Size,2017-07,201-500,Median Base Pay,51832.0,
Houston,Company Size,2017-07,5000+,Median Base Pay,54897.0,
Houston,Company Size,2017-07,501-1000,Median Base Pay,52634.0,
Houston,Company Size,2017-07,51-200,Median Base Pay,50728.0,
Washington DC,Company Size,2017-07,1001-5000,Median Base Pay,58342.0,
Washington DC,Company Size,2017-07,<51,Median Base Pay,52891.0,
Washington DC,Company Size,2017-07,201-500,Median Base Pay,56126.0,
Washington DC,Company Size,2017-07,5000+,Median Base Pay,59445.0,
Washington DC,Company Size,2017-07,501-1000,Median Base Pay,56995.0,
Washington DC,Company Size,2017-07,51-200,Median Base Pay,54932.0,
Philadelphia,Company Size,2017-07,1001-5000,Median Base Pay,53781.0,
Philadelphia,Company Size,2017-07,<51,Median Base Pay,48757.0,
Philadelphia,Company Size,2017-07,201-500,Median Base Pay,51739.0,
Philadelphia,Company Size,2017-07,5000+,Median Base Pay,54798.0,
Philadelphia,Company Size,2017-07,501-1000,Median Base Pay,52539.0,
Philadelphia,Company Size,2017-07,51-200,Median Base Pay,50637.0,
Atlanta,Company Size,2017-07,1001-5000,Median Base Pay,52670.0,
Atlanta,Company Size,2017-07,<51,Median Base Pay,47749.0,
Atlanta,Company Size,2017-07,201-500,Median Base Pay,50669.0,
Atlanta,Company Size,2017-07,5000+,Median Base Pay,53666.0,
Atlanta,Company Size,2017-07,501-1000,Median Base Pay,51453.0,
Atlanta,Company Size,2017-07,51-200,Median Base Pay,49591.0,
Boston,Company Size,2017-07,1001-5000,Median Base Pay,57944.0,
Boston,Company Size,2017-07,<51,Median Base Pay,52530.0,
Boston,Company Size,2017-07,201-500,Median Base Pay,55743.0,
Boston,Company Size,2017-07,5000+,Median Base Pay,59040.0,
Boston,Company Size,2017-07,501-1000,Median Base Pay,56606.0,
Boston,Company Size,2017-07,51-200,Median Base Pay,54557.0,
San Francisco,Company Size,2017-07,1001-5000,Median Base Pay,66633.0,
San Francisco,Company Size,2017-07,<51,Median Base Pay,60408.0,
San Francisco,Company Size,2017-07,201-500,Median Base Pay,64103.0,
San Francisco,Company Size,2017-07,5000+,Median Base Pay,67893.0,
San Francisco,Company Size,2017-07,501-1000,Median Base Pay,65094.0,
