Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Industry,2017-06,Accounting & Legal,Median Base Pay,51839.0,
National,Industry,2017-06,Aerospace & Defense,Median Base Pay,53780.0,
National,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,52250.0,
National,Industry,2017-06,Arts & Entertainment,Median Base Pay,46260.0,
National,Industry,2017-06,Automotive,Median Base Pay,46481.0,
National,Industry,2017-06,Banking & Financial Services,Median Base Pay,50640.0,
National,Industry,2017-06,Beauty & Fitness,Median Base Pay,45219.0,
National,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,54247.0,
National,Industry,2017-06,Business Services,Median Base Pay,48941.0,
National,Industry,2017-06,Computer Software & Hardware,Median Base Pay,52344.0,
National,Industry,2017-06,Construction,Median Base Pay,51868.0,
National,Industry,2017-06,Consulting,Median Base Pay,51411.0,
National,Industry,2017-06,Consumer Electronics,Median Base Pay,43712.0,
National,Industry,2017-06,Consumer Services,Median Base Pay,45409.0,
National,Industry,2017-06,Education & Schools,Median Base Pay,46399.0,
National,Industry,2017-06,Energy & Utilities,Median Base Pay,56482.0,
National,Industry,2017-06,Facilities,Median Base Pay,46345.0,
National,Industry,2017-06,Farming & Agriculture,Median Base Pay,49852.0,
National,Industry,2017-06,Government,Median Base Pay,50645.0,
National,Industry,2017-06,Health Care & Hospitals,Median Base Pay,49520.0,
National,Industry,2017-06,Information Technology,Median Base Pay,50381.0,
National,Industry,2017-06,Insurance,Median Base Pay,50539.0,
National,Industry,2017-06,Internet & Tech,Median Base Pay,51360.0,
National,Industry,2017-06,Manufacturing,Median Base Pay,52035.0,
National,Industry,2017-06,Marketing & Advertising,Median Base Pay,48006.0,
National,Industry,2017-06,Media & Publishing,Median Base Pay,48757.0,
National,Industry,2017-06,Nonprofit,Median Base Pay,45867.0,
National,Industry,2017-06,Private Security,Median Base Pay,45758.0,
National,Industry,2017-06,Real Estate,Median Base Pay,48682.0,
National,Industry,2017-06,Recruiting & Staffing,Median Base Pay,48010.0,
National,Industry,2017-06,Restaurants & Bars,Median Base Pay,46718.0,
National,Industry,2017-06,Retail,Median Base Pay,46034.0,
National,Industry,2017-06,Supermarkets,Median Base Pay,47748.0,
National,Industry,2017-06,Telecommunications,Median Base Pay,49581.0,
National,Industry,2017-06,Transportation & Logistics,Median Base Pay,49157.0,
National,Industry,2017-06,Travel & Tourism,Median Base Pay,46877.0,
National,Industry,2017-06,Wholesale,Median Base Pay,49604.0,
New York City,Industry,2017-06,Accounting & Legal,Median Base Pay,61172.0,
New York City,Industry,2017-06,Aerospace & Defense,Median Base Pay,63464.0,
New York City,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,61658.0,
New York City,Industry,2017-06,Arts & Entertainment,Median Base Pay,54589.0,
New York City,Industry,2017-06,Automotive,Median Base Pay,54850.0,
New York City,Industry,2017-06,Banking & Financial Services,Median Base Pay,59758.0,
New York City,Industry,2017-06,Beauty & Fitness,Median Base Pay,53361.0,
New York City,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,64015.0,
New York City,Industry,2017-06,Business Services,Median Base Pay,57753.0,
New York City,Industry,2017-06,Computer Software & Hardware,Median Base Pay,61769.0,
New York City,Industry,2017-06,Construction,Median Base Pay,61207.0,
New York City,Industry,2017-06,Consulting,Median Base Pay,60668.0,
New York City,Industry,2017-06,Consumer Electronics,Median Base Pay,51583.0,
New York City,Industry,2017-06,Consumer Services,Median Base Pay,53585.0,
New York City,Industry,2017-06,Education & Schools,Median Base Pay,54753.0,
New York City,Industry,2017-06,Energy & Utilities,Median Base Pay,66652.0,
New York City,Industry,2017-06,Facilities,Median Base Pay,54689.0,
New York City,Industry,2017-06,Farming & Agriculture,Median Base Pay,58828.0,
New York City,Industry,2017-06,Government,Median Base Pay,59764.0,
New York City,Industry,2017-06,Health Care & Hospitals,Median Base Pay,58436.0,
New York City,Industry,2017-06,Information Technology,Median Base Pay,59452.0,
New York City,Industry,2017-06,Insurance,Median Base Pay,59639.0,
New York City,Industry,2017-06,Internet & Tech,Median Base Pay,60607.0,
New York City,Industry,2017-06,Manufacturing,Median Base Pay,61404.0,
New York City,Industry,2017-06,Marketing & Advertising,Median Base Pay,56649.0,
New York City,Industry,2017-06,Media & Publishing,Median Base Pay,57536.0,
New York City,Industry,2017-06,Nonprofit,Median Base Pay,54126.0,
New York City,Industry,2017-06,Private Security,Median Base Pay,53997.0,
New York City,Industry,2017-06,Real Estate,Median Base Pay,57448.0,
New York City,Industry,2017-06,Recruiting & Staffing,Median Base Pay,56655.0,
New York City,Industry,2017-06,Restaurants & Bars,Median Base Pay,55129.0,
New York City,Industry,2017-06,Retail,Median Base Pay,54323.0,
New York City,Industry,2017-06,Supermarkets,Median Base Pay,56345.0,
New York City,Industry,2017-06,Telecommunications,Median Base Pay,58508.0,
New York City,Industry,2017-06,Transportation & Logistics,Median Base Pay,58008.0,
New York City,Industry,2017-06,Travel & Tourism,Median Base Pay,55317.0,
New York City,Industry,2017-06,Wholesale,Median Base Pay,58536.0,
Los Angeles,Industry,2017-06,Accounting & Legal,Median Base Pay,59498.0,
Los Angeles,Industry,2017-06,Aerospace & Defense,Median Base Pay,61726.0,
Los Angeles,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,59970.0,
Los Angeles,Industry,2017-06,Arts & Entertainment,Median Base Pay,53094.0,
Los Angeles,Industry,2017-06,Automotive,Median Base Pay,53349.0,
Los Angeles,Industry,2017-06,Banking & Financial Services,Median Base Pay,58122.0,
Los Angeles,Industry,2017-06,Beauty & Fitness,Median Base Pay,51901.0,
Los Angeles,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,62263.0,
Los Angeles,Industry,2017-06,Business Services,Median Base Pay,56172.0,
Los Angeles,Industry,2017-06,Computer Software & Hardware,Median Base Pay,60078.0,
Los Angeles,Industry,2017-06,Construction,Median Base Pay,59531.0,
Los Angeles,Industry,2017-06,Consulting,Median Base Pay,59007.0,
Los Angeles,Industry,2017-06,Consumer Electronics,Median Base Pay,50171.0,
Los Angeles,Industry,2017-06,Consumer Services,Median Base Pay,52118.0,
Los Angeles,Industry,2017-06,Education & Schools,Median Base Pay,53255.0,
Los Angeles,Industry,2017-06,Energy & Utilities,Median Base Pay,64827.0,
Los Angeles,Industry,2017-06,Facilities,Median Base Pay,53192.0,
Los Angeles,Industry,2017-06,Farming & Agriculture,Median Base Pay,57218.0,
Los Angeles,Industry,2017-06,Government,Median Base Pay,58128.0,
Los Angeles,Industry,2017-06,Health Care & Hospitals,Median Base Pay,56837.0,
Los Angeles,Industry,2017-06,Information Technology,Median Base Pay,57824.0,
Los Angeles,Industry,2017-06,Insurance,Median Base Pay,58006.0,
Los Angeles,Industry,2017-06,Internet & Tech,Median Base Pay,58948.0,
Los Angeles,Industry,2017-06,Manufacturing,Median Base Pay,59724.0,
