Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
National,Timeseries,2017-06,Metro Median Base Pay,Median Base Pay,51324.0,
National,Timeseries,2017-05,Metro Median Base Pay,Median Base Pay,51336.66667,
National,Timeseries,2017-04,Metro Median Base Pay,Median Base Pay,51341.66667,
National,Timeseries,2017-03,Metro Median Base Pay,Median Base Pay,51254.33333,
National,Timeseries,2017-02,Metro Median Base Pay,Median Base Pay,51157.66667,
National,Timeseries,2017-01,Metro Median Base Pay,Median Base Pay,51114.0,
National,Timeseries,2016-12,Metro Median Base Pay,Median Base Pay,50933.66667,
National,Timeseries,2016-11,Metro Median Base Pay,Median Base Pay,50865.66667,
National,Timeseries,2016-10,Metro Median Base Pay,Median Base Pay,50705.0,
National,Timeseries,2016-09,Metro Median Base Pay,Median Base Pay,50581.33333,
National,Timeseries,2016-08,Metro Median Base Pay,Median Base Pay,50558.66667,
National,Timeseries,2016-07,Metro Median Base Pay,Median Base Pay,50497.0,
National,Timeseries,2016-06,Metro Median Base Pay,Median Base Pay,50475.0,
National,Timeseries,2016-05,Metro Median Base Pay,Median Base Pay,50241.66667,
National,Timeseries,2016-04,Metro Median Base Pay,Median Base Pay,50078.33333,
National,Timeseries,2016-03,Metro Median Base Pay,Median Base Pay,49869.66667,
National,Timeseries,2016-02,Metro Median Base Pay,Median Base Pay,49741.0,
National,Timeseries,2016-01,Metro Median Base Pay,Median Base Pay,49588.33333,
National,Timeseries,2015-12,Metro Median Base Pay,Median Base Pay,49522.66667,
National,Timeseries,2015-11,Metro Median Base Pay,Median Base Pay,49392.66667,
National,Timeseries,2015-10,Metro Median Base Pay,Median Base Pay,49346.33333,
National,Timeseries,2015-09,Metro Median Base Pay,Median Base Pay,49272.66667,
National,Timeseries,2015-08,Metro Median Base Pay,Median Base Pay,49298.66667,
National,Timeseries,2015-07,Metro Median Base Pay,Median Base Pay,49276.33333,
National,Timeseries,2015-06,Metro Median Base Pay,Median Base Pay,49221.33333,
National,Timeseries,2015-05,Metro Median Base Pay,Median Base Pay,49168.0,
National,Timeseries,2015-04,Metro Median Base Pay,Median Base Pay,49116.33333,
National,Timeseries,2015-03,Metro Median Base Pay,Median Base Pay,49017.0,
National,Timeseries,2015-02,Metro Median Base Pay,Median Base Pay,48962.33333,
National,Timeseries,2015-01,Metro Median Base Pay,Median Base Pay,48860.33333,
National,Timeseries,2014-12,Metro Median Base Pay,Median Base Pay,48847.0,
National,Timeseries,2014-11,Metro Median Base Pay,Median Base Pay,48720.0,
National,Timeseries,2014-10,Metro Median Base Pay,Median Base Pay,48641.66667,
National,Timeseries,2014-09,Metro Median Base Pay,Median Base Pay,48560.33333,
National,Timeseries,2014-08,Metro Median Base Pay,Median Base Pay,48484.66667,
National,Timeseries,2014-07,Metro Median Base Pay,Median Base Pay,48278.66667,
National,Timeseries,2014-06,Metro Median Base Pay,Median Base Pay,48038.0,
National,Timeseries,2014-05,Metro Median Base Pay,Median Base Pay,48043.33333,
National,Timeseries,2014-04,Metro Median Base Pay,Median Base Pay,48020.33333,
National,Timeseries,2014-03,Metro Median Base Pay,Median Base Pay,48141.66667,
National,Timeseries,2014-02,Metro Median Base Pay,Median Base Pay,48047.0,
National,Timeseries,2014-01,Metro Median Base Pay,Median Base Pay,48015.0,
National,Timeseries,2013-12,Metro Median Base Pay,Median Base Pay,47937.0,
National,Timeseries,2013-11,Metro Median Base Pay,Median Base Pay,47830.33333,
National,Timeseries,2013-10,Metro Median Base Pay,Median Base Pay,47755.33333,
National,Timeseries,2013-09,Metro Median Base Pay,Median Base Pay,47625.66667,
National,Timeseries,2013-08,Metro Median Base Pay,Median Base Pay,47607.33333,
National,Timeseries,2013-07,Metro Median Base Pay,Median Base Pay,47681.33333,
National,Timeseries,2013-06,Metro Median Base Pay,Median Base Pay,47872.66667,
Atlanta,Timeseries,2017-06,Metro Median Base Pay,Median Base Pay,52763.33333,
Atlanta,Timeseries,2017-05,Metro Median Base Pay,Median Base Pay,52707.0,
Atlanta,Timeseries,2017-04,Metro Median Base Pay,Median Base Pay,52707.0,
Atlanta,Timeseries,2017-03,Metro Median Base Pay,Median Base Pay,52608.0,
Atlanta,Timeseries,2017-02,Metro Median Base Pay,Median Base Pay,52659.66667,
Atlanta,Timeseries,2017-01,Metro Median Base Pay,Median Base Pay,52618.66667,
Atlanta,Timeseries,2016-12,Metro Median Base Pay,Median Base Pay,52537.66667,
Atlanta,Timeseries,2016-11,Metro Median Base Pay,Median Base Pay,52455.0,
Atlanta,Timeseries,2016-10,Metro Median Base Pay,Median Base Pay,52363.66667,
Atlanta,Timeseries,2016-09,Metro Median Base Pay,Median Base Pay,52189.66667,
Atlanta,Timeseries,2016-08,Metro Median Base Pay,Median Base Pay,52366.66667,
Atlanta,Timeseries,2016-07,Metro Median Base Pay,Median Base Pay,52377.66667,
Atlanta,Timeseries,2016-06,Metro Median Base Pay,Median Base Pay,52303.33333,
Atlanta,Timeseries,2016-05,Metro Median Base Pay,Median Base Pay,51771.0,
Atlanta,Timeseries,2016-04,Metro Median Base Pay,Median Base Pay,51591.0,
Atlanta,Timeseries,2016-03,Metro Median Base Pay,Median Base Pay,51418.66667,
Atlanta,Timeseries,2016-02,Metro Median Base Pay,Median Base Pay,51322.33333,
Atlanta,Timeseries,2016-01,Metro Median Base Pay,Median Base Pay,51166.66667,
Atlanta,Timeseries,2015-12,Metro Median Base Pay,Median Base Pay,51197.33333,
Atlanta,Timeseries,2015-11,Metro Median Base Pay,Median Base Pay,51011.0,
Atlanta,Timeseries,2015-10,Metro Median Base Pay,Median Base Pay,50849.66667,
Atlanta,Timeseries,2015-09,Metro Median Base Pay,Median Base Pay,50687.33333,
Atlanta,Timeseries,2015-08,Metro Median Base Pay,Median Base Pay,50905.66667,
Atlanta,Timeseries,2015-07,Metro Median Base Pay,Median Base Pay,51045.0,
Atlanta,Timeseries,2015-06,Metro Median Base Pay,Median Base Pay,50969.33333,
Atlanta,Timeseries,2015-05,Metro Median Base Pay,Median Base Pay,50867.33333,
Atlanta,Timeseries,2015-04,Metro Median Base Pay,Median Base Pay,50586.0,
Atlanta,Timeseries,2015-03,Metro Median Base Pay,Median Base Pay,50751.0,
Atlanta,Timeseries,2015-02,Metro Median Base Pay,Median Base Pay,50644.33333,
Atlanta,Timeseries,2015-01,Metro Median Base Pay,Median Base Pay,50792.66667,
Atlanta,Timeseries,2014-12,Metro Median Base Pay,Median Base Pay,50782.66667,
Atlanta,Timeseries,2014-11,Metro Median Base Pay,Median Base Pay,50849.33333,
Atlanta,Timeseries,2014-10,Metro Median Base Pay,Median Base Pay,50615.66667,
Atlanta,Timeseries,2014-09,Metro Median Base Pay,Median Base Pay,50192.66667,
Atlanta,Timeseries,2014-08,Metro Median Base Pay,Median Base Pay,49965.0,
Atlanta,Timeseries,2014-07,Metro Median Base Pay,Median Base Pay,50034.0,
Atlanta,Timeseries,2014-06,Metro Median Base Pay,Median Base Pay,50157.33333,
Atlanta,Timeseries,2014-05,Metro Median Base Pay,Median Base Pay,50442.66667,
Atlanta,Timeseries,2014-04,Metro Median Base Pay,Median Base Pay,50398.0,
Atlanta,Timeseries,2014-03,Metro Median Base Pay,Median Base Pay,50620.66667,
Atlanta,Timeseries,2014-02,Metro Median Base Pay,Median Base Pay,50526.0,
Atlanta,Timeseries,2014-01,Metro Median Base Pay,Median Base Pay,50577.0,
Atlanta,Timeseries,2013-12,Metro Median Base Pay,Median Base Pay,50303.0,
Atlanta,Timeseries,2013-11,Metro Median Base Pay,Median Base Pay,49975.33333,
Atlanta,Timeseries,2013-10,Metro Median Base Pay,Median Base Pay,49837.0,
Atlanta,Timeseries,2013-09,Metro Median Base Pay,Median Base Pay,49536.0,
Atlanta,Timeseries,2013-08,Metro Median Base Pay,Median Base Pay,49628.66667,
Atlanta,Timeseries,2013-07,Metro Median Base Pay,Median Base Pay,49710.0,
Atlanta,Timeseries,2013-06,Metro Median Base Pay,Median Base Pay,50352.33333,
New York City,Timeseries,2017-06,Metro Median Base Pay,Median Base Pay,60606.333329999994,
New York City,Timeseries,2017-05,Metro Median Base Pay,Median Base Pay,60757.0,
New York City,Timeseries,2017-04,Metro Median Base Pay,Median Base Pay,60739.333329999994,
New York City,Timeseries,2017-03,Metro Median Base Pay,Median Base Pay,60640.0,
New York City,Timeseries,2017-02,Metro Median Base Pay,Median Base Pay,60486.666670000006,
New York City,Timeseries,2017-01,Metro Median Base Pay,Median Base Pay,60381.666670000006,
New York City,Timeseries,2016-12,Metro Median Base Pay,Median Base Pay,60053.333329999994,
New York City,Timeseries,2016-11,Metro Median Base Pay,Median Base Pay,59882.666670000006,
New York City,Timeseries,2016-10,Metro Median Base Pay,Median Base Pay,59856.666670000006,
New York City,Timeseries,2016-09,Metro Median Base Pay,Median Base Pay,59650.666670000006,
New York City,Timeseries,2016-08,Metro Median Base Pay,Median Base Pay,59651.0,
New York City,Timeseries,2016-07,Metro Median Base Pay,Median Base Pay,59485.0,
New York City,Timeseries,2016-06,Metro Median Base Pay,Median Base Pay,59553.333329999994,
New York City,Timeseries,2016-05,Metro Median Base Pay,Median Base Pay,59360.666670000006,
New York City,Timeseries,2016-04,Metro Median Base Pay,Median Base Pay,59158.333329999994,
New York City,Timeseries,2016-03,Metro Median Base Pay,Median Base Pay,59015.0,
New York City,Timeseries,2016-02,Metro Median Base Pay,Median Base Pay,58911.0,
New York City,Timeseries,2016-01,Metro Median Base Pay,Median Base Pay,58885.333329999994,
New York City,Timeseries,2015-12,Metro Median Base Pay,Median Base Pay,58607.333329999994,
New York City,Timeseries,2015-11,Metro Median Base Pay,Median Base Pay,58290.0,
New York City,Timeseries,2015-10,Metro Median Base Pay,Median Base Pay,57971.0,
New York City,Timeseries,2015-09,Metro Median Base Pay,Median Base Pay,57728.0,
New York City,Timeseries,2015-08,Metro Median Base Pay,Median Base Pay,57672.666670000006,
New York City,Timeseries,2015-07,Metro Median Base Pay,Median Base Pay,57726.666670000006,
New York City,Timeseries,2015-06,Metro Median Base Pay,Median Base Pay,57916.666670000006,
New York City,Timeseries,2015-05,Metro Median Base Pay,Median Base Pay,57749.666670000006,
New York City,Timeseries,2015-04,Metro Median Base Pay,Median Base Pay,57797.666670000006,
New York City,Timeseries,2015-03,Metro Median Base Pay,Median Base Pay,57892.0,
New York City,Timeseries,2015-02,Metro Median Base Pay,Median Base Pay,58008.0,
New York City,Timeseries,2015-01,Metro Median Base Pay,Median Base Pay,57930.0,
