Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
National,Job Title,2017-06,Software Engineer,Median Base Pay,85880.0,0.027999999999999997,6,2017
National,Job Title,2017-06,Programmer Analyst,Median Base Pay,67889.0,0.026000000000000002,6,2017
National,Job Title,2017-06,Consultant,Median Base Pay,71306.0,0.006,6,2017
National,Job Title,2017-06,Project Manager,Median Base Pay,72571.0,0.004,6,2017
National,Job Title,2017-06,Store Manager,Median Base Pay,48199.0,0.027999999999999997,6,2017
National,Job Title,2017-06,Business Analyst,Median Base Pay,64314.0,0.023,6,2017
National,Job Title,2017-06,Cashier,Median Base Pay,27375.0,0.040999999999999995,6,2017
National,Job Title,2017-06,Financial Analyst,Median Base Pay,62153.0,0.012,6,2017
National,Job Title,2017-06,Administrative Assistant,Median Base Pay,39099.0,0.019,6,2017
National,Job Title,2017-06,Accountant,Median Base Pay,55170.0,0.013999999999999999,6,2017
National,Job Title,2017-06,Sales Representative,Median Base Pay,47141.0,0.027000000000000003,6,2017
National,Job Title,2017-06,Professor,Median Base Pay,86399.0,0.012,6,2017
National,Job Title,2017-06,Registered Nurse,Median Base Pay,66013.0,0.038,6,2017
National,Job Title,2017-06,Marketing Manager,Median Base Pay,67533.0,0.012,6,2017
National,Job Title,2017-06,Operations Manager,Median Base Pay,66439.0,0.02,6,2017
National,Job Title,2017-06,Product Manager,Median Base Pay,90323.0,0.019,6,2017
National,Job Title,2017-06,Sales Manager,Median Base Pay,61582.0,0.006,6,2017
National,Job Title,2017-06,Teacher,Median Base Pay,45610.0,0.022000000000000002,6,2017
National,Job Title,2017-06,Bank Teller,Median Base Pay,28870.0,0.062,6,2017
National,Job Title,2017-06,Customer Service Manager,Median Base Pay,54054.0,0.064,6,2017
National,Job Title,2017-06,Physical Therapist,Median Base Pay,73444.0,-0.018000000000000002,6,2017
National,Job Title,2017-06,Mechanical Engineer,Median Base Pay,72299.0,0.005,6,2017
National,Job Title,2017-06,Recruiter,Median Base Pay,51585.0,0.084,6,2017
National,Job Title,2017-06,Design Engineer,Median Base Pay,69490.0,-0.038,6,2017
National,Job Title,2017-06,Pharmacy Technician,Median Base Pay,30696.0,0.045,6,2017
National,Job Title,2017-06,Graphic Designer,Median Base Pay,43657.0,0.004,6,2017
National,Job Title,2017-06,Web Developer,Median Base Pay,63915.0,-0.003,6,2017
National,Job Title,2017-06,Business Development Manager,Median Base Pay,67246.0,-0.018000000000000002,6,2017
National,Job Title,2017-06,Data Scientist,Median Base Pay,95297.0,0.028999999999999998,6,2017
National,Job Title,2017-06,Buyer,Median Base Pay,57970.0,-0.008,6,2017
